id,key,value,type
4802568,is_in,"Calgary,Alberta",regular
4802568,lanes,2,regular
4802568,name,Valley Ponds Place NW,regular
4802568,source,Geobase_Import_2009,regular
4802584,highway,residential,regular
4802584,name,Valley Ponds Way NW,regular
4803392,highway,residential,regular
4803392,name,100 Valley Brook Court NW,regular
4803398,highway,residential,regular
4803398,name,200 Valley Glen Bay NW,regular
4803400,highway,residential,regular
4803400,name,Valley Springs Road NW,regular
4803401,highway,residential,regular
4803401,lanes,2,regular
4803401,name,200 Valley Ridge Court NW,regular
4803401,surface,asphalt,regular
4803402,highway,residential,regular
4803402,name,100 Valley Ridge Court NW,regular
4803523,bicycle,designated,regular
4803523,highway,residential,regular
4803523,lanes,2,regular
4803523,name,87 Street NW,regular
4803523,surface,asphalt,regular
4803524,highway,residential,regular
4803524,lanes,2,regular
4803524,name,89 Street NW,regular
4803524,surface,asphalt,regular
4803532,bicycle,designated,regular
4803532,highway,residential,regular
4803532,lanes,2,regular
4803532,name,Bow Crescent NW,regular
4803532,surface,asphalt,regular
4803540,attribution,GeoBase®,regular
4803540,geobase:acquisitionTechnique,GPS,regular
4803540,highway,service,regular
4803540,is_in,"Calgary,Alberta",regular
4803540,lanes,2,regular
4803540,name,Aspen Way NW,regular
4803540,source,Geobase_Import_2009,regular
4803552,highway,residential,regular
4803552,lanes,2,regular
4803552,name,81 Street NW,regular
4803552,surface,asphalt,regular
4803553,highway,residential,regular
4803553,lanes,2,regular
4803553,name,43 Avenue NW,regular
4803553,surface,asphalt,regular
4803554,highway,residential,regular
4803554,lanes,2,regular
4803554,name,83 Street NW,regular
4803554,surface,asphalt,regular
4803555,highway,residential,regular
4803555,lanes,2,regular
4803555,name,81 Street NW,regular
4803555,surface,asphalt,regular
4803556,highway,residential,regular
4803556,lanes,2,regular
4803556,name,40 Avenue NW,regular
4803556,surface,asphalt,regular
4803557,highway,residential,regular
4803557,lanes,2,regular
4803557,name,36 Avenue NW,regular
4803557,surface,asphalt,regular
4803567,highway,residential,regular
4803567,lanes,2,regular
4803567,name,80 Street NW,regular
4803567,surface,asphalt,regular
4803600,highway,residential,regular
4803600,lanes,2,regular
4803600,name,Bowmanten Place NW,regular
4803600,surface,asphalt,regular
4803601,highway,residential,regular
4803601,lanes,2,regular
4803601,name,35 Avenue NW,regular
4803601,surface,asphalt,regular
4803602,highway,residential,regular
4803602,lanes,2,regular
4803602,name,41 Avenue NW,regular
4803602,surface,asphalt,regular
4803603,highway,residential,regular
4803603,lanes,2,regular
4803603,name,Bow Green Crescent NW,regular
4803603,surface,asphalt,regular
4803604,highway,residential,regular
4803604,lanes,2,regular
4803604,name,80 Street NW,regular
4803604,surface,asphalt,regular
4803605,highway,residential,regular
4803605,lanes,2,regular
4803605,name,44 Avenue NW,regular
4803605,surface,asphalt,regular
4803606,highway,residential,regular
4803606,lanes,2,regular
4803606,name,81 Street NW,regular
